"
                        <div class=""container"">
                            <p>No Checkout module installed.</p>
                            <p>Either install Hyvä Checkout, the Luma Fallback Checkout, or another alternative checkout.</p>
                            <p>Please refer to <a href=""https://docs.hyva.io/checkout/index.html"" target=""_blank"">the documentation</a> for more information.</p>
                        </div>
                        ","
                        <div class=""container"">
                            <p>No Checkout module installed.</p>
                            <p>Either install Hyvä Checkout, the Luma Fallback Checkout, or another alternative checkout.</p>
                            <p>Please refer to <a href=""https://docs.hyva.io/checkout/index.html"" target=""_blank"">the documentation</a> for more information.</p>
                        </div>
                        "
"%0 of %1 products in cart displayed","%0 of %1 products in cart displayed"
"%1 filter options","%1 filter options"
"%1 filter, %2 available products","%1 filter, %2 available products"
"%1 filter, 1 available product","%1 filter, 1 available product"
"%1 options","%1 options"
"%1 rating. %2 out of %3 stars","%1 rating. %2 out of %3 stars"
"%1 rating. %2 out of %3 stars. Click to go to reviews.","%1 rating. %2 out of %3 stars. Click to go to reviews."
"%1 stars","%1 stars"
"(These settings can also be found in Catalog > Catalog > Recently Viewed/Compared Products)","(These settings can also be found in Catalog > Catalog > Recently Viewed/Compared Products)"
"(These settings can also be found in Catalog > Catalog > Storefront)","(These settings can also be found in Catalog > Catalog > Storefront)"
"(These settings can also be found in Sales > Google API > Google GTag)","(These settings can also be found in Sales > Google API > Google GTag)"
"1 star","1 star"
"<div class=""container"">You currently need the Luma Fallback module to render the Paypal Express Review Page.</div>","<div class=""container"">You currently need the Luma Fallback module to render the Paypal Express Review Page.</div>"
"<strong>%1 item</strong> was found using the following search criteria","<strong>%1 item</strong> was found using the following search criteria"
"Active filtering","Active filtering"
"Add %1 to Cart","Add %1 to Cart"
"Add one or more recipients before sending the message.","Add one or more recipients before sending the message."
"Add to Cart %1","Add to Cart %1"
"Add to cart selected products from list","Add to cart selected products from list"
"Are you sure you want to delete this PayPal account?","Are you sure you want to delete this PayPal account?"
"Back to main categories","Back to main categories"
Carousel,Carousel
"Carousel %1","Carousel %1"
Cart,Cart
"Cart is empty","Cart is empty"
"Click to view image in fullscreen","Click to view image in fullscreen"
"Close fullscreen","Close fullscreen"
"Close menu","Close menu"
"Close message","Close message"
"Close minicart","Close minicart"
"Confirm password hidden","Confirm password hidden"
Contact,Contact
"Contact Details","Contact Details"
"Could not add item to wishlist.","Could not add item to wishlist."
"Could not add item to your Wish List.","Could not add item to your Wish List."
"Could not remove all item from compare.","Could not remove all item from compare."
"Could not remove item from compare.","Could not remove item from compare."
"Could not remove item from quote.","Could not remove item from quote."
"Could not remove item from your Wish List.","Could not remove item from your Wish List."
"Created at","Created at"
"Customer Address","Customer Address"
"Display slide %1","Display slide %1"
"Edit %1","Edit %1"
"Edit Address - billing default","Edit Address - billing default"
"Edit Address - shipping default","Edit Address - shipping default"
"Edit contact information","Edit contact information"
"Edit newsletters","Edit newsletters"
"Edit product ""%0""","Edit product ""%0"""
"Email Address:","Email Address:"
"Enable Recently Viewed Products","Enable Recently Viewed Products"
"Enable on Product Detail Pages","Enable on Product Detail Pages"
"Enabling client side breadcrumb rendering can impact frontend performance for large category trees.","Enabling client side breadcrumb rendering can impact frontend performance for large category trees."
"Filter %1 %2","Filter %1 %2"
"Final product price ","Final product price "
"Gallery modal fullscreen","Gallery modal fullscreen"
"Go to Home page","Go to Home page"
"Go to Wish List page","Go to Wish List page"
"Google Tag Manager","Google Tag Manager"
"Hide Password","Hide Password"
"Hyva Themes","Hyva Themes"
"Hyva twitter profile","Hyva twitter profile"
"Hyvä Client-Side Breadcrumbs Rendering","Hyvä Client-Side Breadcrumbs Rendering"
Invitees,Invitees
"Item %1","Item %1"
"Jump backward","Jump backward"
"Lazyload Tag Manager","Lazyload Tag Manager"
"Luma Fallback module expected","Luma Fallback module expected"
"Main image","Main image"
"Main menu","Main menu"
"Message Display","Message Display"
"Navigating through the elements of the carousel is possible using the tab key. You can skip the carousel or go straight to carousel navigation using the skip links.","Navigating through the elements of the carousel is possible using the tab key. You can skip the carousel or go straight to carousel navigation using the skip links."
"Next slide","Next slide"
"Not supported on Hyvä Themes storefronts for compatibility and performance reasons.","Not supported on Hyvä Themes storefronts for compatibility and performance reasons."
"Only registered users can write reviews. Please <a href=""%1"" class=""underline"">Sign in</a> or <a href=""%2"" class=""underline"">create an account</a>","Only registered users can write reviews. Please <a href=""%1"" class=""underline"">Sign in</a> or <a href=""%2"" class=""underline"">create an account</a>"
"Open %1 subcategories","Open %1 subcategories"
"Open menu","Open menu"
"Password hidden","Password hidden"
"Password shown","Password shown"
"PayPal Logo","PayPal Logo"
"Please enable LocalStorage in your browser.","Please enable LocalStorage in your browser."
"Please enter a valid date range.","Please enter a valid date range."
"Please enter a valid number range.","Please enter a valid number range."
"Please enter a valid range.","Please enter a valid range."
"Please enter a valid value. The two nearest valid values are ""%0"" and ""%1"".","Please enter a valid value. The two nearest valid values are ""%0"" and ""%1""."
"Please enter a value greater than or equal to ""%0"".","Please enter a value greater than or equal to ""%0""."
"Please enter a value less than or equal to ""%0"".","Please enter a value less than or equal to ""%0""."
"Please enter at least %0 characters.","Please enter at least %0 characters."
"Please enter at least 1 character.","Please enter at least 1 character."
"Please enter no more than %0 characters.","Please enter no more than %0 characters."
"Please enter no more than 1 character.","Please enter no more than 1 character."
"Please match the requested format.","Please match the requested format."
"Please match the requested format: %0.","Please match the requested format: %0."
"Please provide at least one upper case, one lower case, one digit and one special character (#?!@$%^&*-)","Please provide at least one upper case, one lower case, one digit and one special character (#?!@$%^&*-)"
"Please verify you've entered all required information","Please verify you've entered all required information"
"Popular Products","Popular Products"
"Press to go to carousel navigation","Press to go to carousel navigation"
"Press to skip carousel","Press to skip carousel"
"Previous slide","Previous slide"
"Product ""%0""","Product ""%0"""
"Product ""%1"" is not salable","Product ""%1"" is not salable"
"Product Options:","Product Options:"
"Product filters","Product filters"
"Product list","Product list"
"Products view mode","Products view mode"
"Products view mode - %1","Products view mode - %1"
"Read our policy","Read our policy"
"Remove active %1 filter: %2","Remove active %1 filter: %2"
"Remove all Products","Remove all Products"
"Remove item %1","Remove item %1"
"Remove product ""%0"" from cart","Remove product ""%0"" from cart"
"Remove product ""%1"" from My Wish List","Remove product ""%1"" from My Wish List"
"Remove product ""%1"" from the comparison","Remove product ""%1"" from the comparison"
"Review score","Review score"
"Select product ""%1"" to reorder","Select product ""%1"" to reorder"
"Show Add To Compare In Product List","Show Add To Compare In Product List"
"Show Add To Compare On Product Page","Show Add To Compare On Product Page"
"Show Compare Sidebar On Product List","Show Compare Sidebar On Product List"
"Show Recently Viewed on Product Detail Pages","Show Recently Viewed on Product Detail Pages"
"Show Recently Viewed on Product Listing Pages","Show Recently Viewed on Product Listing Pages"
"Show items per page","Show items per page"
"Show submenu for %1 category","Show submenu for %1 category"
"Site navigation","Site navigation"
"Site navigation links","Site navigation links"
"Skip to product list","Skip to product list"
"Store logo","Store logo"
Subcategories,Subcategories
"Submitting your review failed, please try again.","Submitting your review failed, please try again."
"Success Message Default Timeout","Success Message Default Timeout"
"Thank you for your visit, we're looking forward to see you again soon.","Thank you for your visit, we're looking forward to see you again soon."
"The number of milliseconds, after which success messages disappear by default. Leave empty to disable automatic hiding.","The number of milliseconds, after which success messages disappear by default. Leave empty to disable automatic hiding."
"The password must include at least %1 or more of: uppercase (A-Z), lowercase (a-z), number and symbol.","The password must include at least %1 or more of: uppercase (A-Z), lowercase (a-z), number and symbol."
"The telephone number is too short.","The telephone number is too short."
"This field value must be the same as ""%0"".","This field value must be the same as ""%0""."
"This form is protected by reCAPTCHA - the <a class=""underline"" href=""%1"" target=""_blank"" rel=""noopener"">Google Privacy Policy</a> and <a class=""underline"" href=""%2"" target=""_blank"" rel=""noopener"">Terms of Service</a> apply.","This form is protected by reCAPTCHA - the <a class=""underline"" href=""%1"" target=""_blank"" rel=""noopener"">Google Privacy Policy</a> and <a class=""underline"" href=""%2"" target=""_blank"" rel=""noopener"">Terms of Service</a> apply."
"Toggle minicart","Toggle minicart"
"Toggle search form","Toggle search form"
"Track Shipment","Track Shipment"
"Unable to find the SVG icon ""%1""","Unable to find the SVG icon ""%1"""
"Update item","Update item"
"View all orders","View all orders"
"View all recent orders","View all recent orders"
"View cart","View cart"
"View order","View order"
Watches,Watches
"We found other products you might like!
                            ","We found other products you might like!
                            "
"You are sharing","You are sharing"
"You have signed out","You have signed out"
"You have signed out and will be redirected to our homepage in 5 seconds.","You have signed out and will be redirected to our homepage in 5 seconds."
"You might also like:","You might also like:"
"You removed all products from the comparison list","You removed all products from the comparison list"
"You removed product %1 from the comparison list","You removed product %1 from the comparison list"
"You removed the item.","You removed the item."
"confirm password shown","confirm password shown"
excl.,excl.
filter,filter
"form appears when field is selected","form appears when field is selected"
incl.,incl.
"opens in new window","opens in new window"
